CategoryId,CategoryName,Clevel,ParentId,ParentName,Trees,StylePos
50584001,儿童床垫,3,50021837,床垫类,家装家饰→住宅家具→床垫类→儿童床垫,NULL
50586001,成人床垫,3,50021837,床垫类,家装家饰→住宅家具→床垫类→成人床垫,NULL
122840004,椰棕床垫,3,50021837,床垫类,家装家饰→住宅家具→床垫类→椰棕床垫,NULL
50021840,床垫,3,50021837,床垫类,家装家饰→住宅家具→床垫类→床垫,NULL
122842005,其他床垫,3,50021837,床垫类,家装家饰→住宅家具→床垫类→其他床垫,NULL
122894004,棕榈床垫,3,50021837,床垫类,家装家饰→住宅家具→床垫类→棕榈床垫,NULL
122910003,弹簧床垫,3,50021837,床垫类,家装家饰→住宅家具→床垫类→弹簧床垫,NULL
122920001,乳胶床垫,3,50021837,床垫类,家装家饰→住宅家具→床垫类→乳胶床垫,NULL
122922001,3D床垫,3,50021837,床垫类,家装家饰→住宅家具→床垫类→3D床垫,NULL
122924001,海绵床垫,3,50021837,床垫类,家装家饰→住宅家具→床垫类→海绵床垫,NULL
50022373,情趣家具,2,50008164,住宅家具,家装家饰→住宅家具→情趣家具,NULL
50022417,情趣床/红床,3,50022373,情趣家具,家装家饰→住宅家具→情趣家具→情趣床/红床,NULL
50022418,性爱椅,3,50022373,情趣家具,家装家饰→住宅家具→情趣家具→性爱椅,NULL
50022419,情趣沙发,3,50022373,情趣家具,家装家饰→住宅家具→情趣家具→情趣沙发,NULL
50022420,性爱秋千,3,50022373,情趣家具,家装家饰→住宅家具→情趣家具→性爱秋千,NULL
120840001,O2O专用（天猫专用）,2,50008164,住宅家具,家装家饰→住宅家具→O2O专用（天猫专用）,NULL
121384016,设计师家具（new）,2,50008164,住宅家具,家装家饰→住宅家具→设计师家具（new）,NULL
121366017,设计师家具沙发,3,121384016,设计师家具（new）,家装家饰→住宅家具→设计师家具（new）→设计师家具沙发,NULL
121382023,设计师家具桌子,3,121384016,设计师家具（new）,家装家饰→住宅家具→设计师家具（new）→设计师家具桌子,NULL
121384017,设计师家具沙发,3,121384016,设计师家具（new）,家装家饰→住宅家具→设计师家具（new）→设计师家具沙发,NULL
121422017,设计师家具沙发,3,121384016,设计师家具（new）,家装家饰→住宅家具→设计师家具（new）→设计师家具沙发,NULL
50015661,拉手,4,50015642,柜子配件,家装家饰→住宅家具→柜类→柜子配件→拉手,NULL
50015841,儿童玩具储物箱,3,50020618,箱类,家装家饰→住宅家具→箱类→儿童玩具储物箱,9
50020961,衣箱,3,50020618,箱类,家装家饰→住宅家具→箱类→衣箱,1
50020962,遮挡箱/钥匙盒,3,50020618,箱类,家装家饰→住宅家具→箱类→遮挡箱/钥匙盒,13
50020964,家用保险箱,3,50020618,箱类,家装家饰→住宅家具→箱类→家用保险箱,NULL
50020965,其他,3,50020618,箱类,家装家饰→住宅家具→箱类→其他,13
50022495,藏箱/扣箱,3,50020618,箱类,家装家饰→住宅家具→箱类→藏箱/扣箱,NULL
